keys,zhc,zh,en
呵～這就是我的對手嗎？希望你能撐久一點♡,呵～這就是我的對手嗎？希望你能撐久一點♡,呵～这就是我的对手吗？希望你能撑久一点♡,Heh~ So this is my opponent? I hope you can last a little longer♡
哎呀，還不錯嘛？但只是這點程度，你可還不夠資格♡,哎呀，還不錯嘛？但只是這點程度，你可還不夠資格♡,哎呀，还不错嘛？但只是这点程度，你可还不够资格♡,"Oh my, not bad? But at just this level, you're still not qualified♡"
嘻嘻～竟然能走到這一步，真是讓人刮目相看呢♡,嘻嘻～竟然能走到這一步，真是讓人刮目相看呢♡,嘻嘻～竟然能走到这一步，真是让人刮目相看呢♡,"Heehee~ To think you've made it this far, truly impressive♡"
挑戰我？有趣，但你的勝算微乎其微。,挑戰我？有趣，但你的勝算微乎其微。,挑战我？有趣，但你的胜算微乎其微。,"Challenge me? Interesting, but your chances of winning are minuscule."
還不錯，至少沒有讓我太失望。,還不錯，至少沒有讓我太失望。,还不错，至少没有让我太失望。,"Not bad, at least you didn't disappoint me too much."
或許，你還值得我再多看一眼……,或許，你還值得我再多看一眼……,或许，你还值得我再多看一眼……,"Perhaps, you're worthy of a second glance..."
哎呀～你真的打算脫到最後嗎？,哎呀～你真的打算脫到最後嗎？,哎呀～你真的打算脱到最后吗？,"Well, well… another victim walks in."
你臉紅什麼？現在才剛開始呢～,你臉紅什麼？現在才剛開始呢～,你脸红什么？现在才刚开始呢～,"Ready to lose your dignity, piece by piece?"
小心一會兒你什麼都不剩囉！,小心一會兒你什麼都不剩囉！,小心一会儿你什么都不剩啰！,I hope you didn’t come here expecting mercy.
啊啦？第一輪就緊張了嗎？,啊啦？第一輪就緊張了嗎？,啊啦？第一轮就紧张了吗？,You sure you want to play with me?
看來你今天是來送衣服的喔～,看來你今天是來送衣服的喔～,看来你今天是来送衣服的喔～,"One wrong move, and oops—off goes your shirt!"
我最喜歡看對手一件件脫的樣子了♡,我最喜歡看對手一件件脫的樣子了♡,我最喜欢看对手一件件脱的样子了♡,Oh? Confident? That makes it even more fun~
像你這種新手，三回合就能脫光吧？,像你這種新手，三回合就能脫光吧？,像你这种新手，三回合就能脱光吧？,"Strip RPS, huh? I always win this game."
贏得很辛苦嗎？不如直接脫快一點～,贏得很辛苦嗎？不如直接脫快一點～,赢得很辛苦吗？不如直接脱快一点～,I’ll enjoy watching your pride crumble.
今天，我會一件一件地把你剝光～,今天，我會一件一件地把你剝光～,今天，我会一件一件地把你剥光～,Don't blink—I undress losers fast.
看你那副害羞的樣子，好可愛啊♡,看你那副害羞的樣子，好可愛啊♡,看你那副害羞的样子，好可爱啊♡,Make sure you say goodbye to your clothes nicely!
啊～別擔心，我脫得比你慢多了～,啊～別擔心，我脫得比你慢多了～,啊～别担心，我脱得比你慢多了～,Bow before the queen of this game.
還不認輸？那就繼續脫吧～,還不認輸？那就繼續脫吧～,还不认输？那就继续脱吧～,"You’re not worthy, but I’ll humor you."
哼～這場比賽，你只會越來越冷喔～,哼～這場比賽，你只會越來越冷喔～,哼～这场比赛，你只会越来越冷喔～,I’ve stripped down stronger men than you.
不脫點什麼，怎麼算是野球拳呢？,不脫點什麼，怎麼算是野球拳呢？,不脱点什么，怎么算是野球拳呢？,You play? I command.
